club_name,province,city,city_source,region,website,email,phone,leagues,type,lat,lon,postal_code,place_id,geo_precision,social,contact_person,contact_note,website_status,address,formatted_address,leader,sources,source_count,row_count,oba_affiliated,team_derived,aliases,evidence_url,claimable,domain_claim_ok,domain_claim_reason,last_verified,stale,audience,needs_review
Kings Court Academy,Ontario,Hamilton,source,GTA,https://www.jrkcb.ca/,jrkingscourtbasketball@gmail.com,6478645104,NJC; NPH-SL,,,,,,,IG @_jrkings,,"Organization is 'JR Kings Court Basketball' (JKCB), serving Toronto/Hamilton/GTA since 2004. Physical address: St Jean De Brebeuf High School, 200 Acadia Dr, Hamilton, ON L8W 1B7.",,,,,"census-2026-07,ontario-circuit-list,ontario-csv,tier3-search",4,4,,,"Kings Court (JR Kings Court, probable) | Kings Court Academy",ontario census + enrichment 2026-07-18,yes,yes,canadian-tld,2026-07,,youth,
Kingston Impact,Ontario,Kingston,source,Capital-Kingston,https://www.kingstonimpact.ca/,info@kingstonimpact.ca,,EOBA (Eastern Ontario Basketball Association); EOBA Competitive Season 2025-26; JUEL; JUEL / JUEL Prep; NPH Showcase; OBL; OBL/OBA (affiliated),house-league,44.2529897,-76.550255,,,,IG @kingston_impact,,,,,,(registrar Gillian De Melo),"browser-sweep,census-2026-07,community-sweep,contact-enrichment,league-harvest,municipal-directory,oba-kml,obl-teams,ontario-circuit-list,ontario-csv",10,12,yes,yes,Kingston Impact | Kingston Impact - U19W Stevenson | Kingston Impact BC | Kingston Impact Basketball Academy (successor to Kingston Pacers house league) | Kingston Impact Basketball Club,https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,yes,yes,website-from-governing-body,2026-07,,youth,
Kingsville Class,Ontario,Kingsville,inferred-from-name,West Region,https://sites.google.com/site/kingsvilleclassbasketball/,anthonytaouil@gmail.com,5197336254,OBL/OBA (affiliated),,42.0275308,-82.7401929,,ChIJnw2ezsbCOogR50AWFSLYObM,APPROXIMATE,,"Anthony Taouil (Head Coach); board: Doug Lewis (President), Andrea Lewis-Longmuir (VP), Brent Murray (Treasurer), Bob Lynch (Secretary)",Phone confirmed by direct fetch of the SportsEngine org listing. Head coach email (anthonytaouil@gmail.com) surfaced consistently in search results (tied to a LeagueLineup.com listing) but could not b,,,"Kingsville, ON, Canada",,"geocode,oba-kml,tier3-search",3,3,yes,,Kingsville Class,https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,yes,,unverified-single-source-non-ca,2026-07,,youth,
Kitchener Impact Academy,Ontario,Kitchener,source,Waterloo,impactbasketball.ca,info@impactbasketball.ca,(519) 896-2122,NPH Showcase,house-league,,,,,,,,MODERATE CONFIDENCE: the Valour house league is hosted and run through IMPACT Training Centre per tricity40basketball.com's own listing. The contact given is for IMPACT Training Centre generally (conf,,,,,"census-2026-07,community-sweep,ontario-csv,tier3-search",4,4,,,Kitchener Impact Academy | Kitchener-Waterloo Valour Basketball House League,ontario census + enrichment 2026-07-18,yes,yes,canadian-tld,2026-07,,youth,
Kitchener Waterloo Basketball Association,Ontario,Waterloo,source,,,,,Jr. NBA/Jr. WNBA Canada,,,,,,,,,,,,,,browser-sweep,1,1,,,Kitchener Waterloo Basketball Association | Kitchener Waterloo Girls Basketball Association,https://jr-nba.webflow.io/programs/kitchener-waterloo-girls-basketball-association-fall,,,no-website,2019-20,yes,youth,
Kitchener-Waterloo Girls Basketball Association,Ontario,Kitchener-Waterloo,source,Kitchener-Waterloo,http://www.kwgba.ca/,kwgirlsbball@gmail.com,519-897-6103,Jr. NBA Canada; OBL/OBA (affiliated),,43.4516395,-80.4925337,,,,,,,,,,,"jrnba-2019,municipal-directory,oba-kml",3,4,yes,,Kitchener Waterloo Girls Basketball Association | Kitchener Waterloo Girls Basketball Association (KWGBA) | Kitchener-Waterloo Girls Basketball Association,https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,yes,yes,website-from-governing-body,2026-07,,youth,
Kitchener-Waterloo Youth Basketball Association (Vipers),Ontario,Kitchener/Waterloo,source,Kitchener-Waterloo,https://www.kwyba.com/,coachqwlu@hotmail.com,519-804-8935,Coalition; NPH Showcase; OBL; OBL/OBA (affiliated),community,43.4888461,-80.5447131,N2L 5J4,ChIJfWz2kVjxK4gR7QpXceYrKwg,ROOFTOP,X @kwvipers,Mike Quigley (Executive Administrator),,,"500 Parkside Dr, Waterloo, ON N2L 5J4","500 Parkside Dr, Waterloo, ON N2L 5J4, Canada",Mike Quigley (Exec Admin); John Illingworth (Pres),"census-2026-07,community-sweep,contact-enrichment,geocode,municipal-directory,oba-kml,obl-teams,ontario-circuit-list,ontario-csv",9,9,yes,yes,K-W Vipers | K-W Vipers (KWYBA) | KW Vipers | Kitchener-Waterloo Youth Basketball Association (KW YBA) | Kitchener-Waterloo Youth Basketball Association (KWYBA) | Kitchener-Waterloo Youth Basketball Association (Vipers),https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,yes,yes,website-from-governing-body,2026-07,,youth,
Lakeshore Minor Basketball Association,Ontario,Lakeshore,inferred-from-name,Durham-York,http://www.lakeshorebasketball.ca/site/,lmbaofficeandbookings@gmail.com,905-885-9120,OBL/OBA (affiliated),,43.9731872,-78.1592944,,ChIJ319NBaDNOogRgX75smhFfjU,APPROXIMATE,,,"Input website does not resolve. Found the club's live PowerUp Sports registration platform with office phone/email directly on it. Address: 700 D'Arcy Street, Cobourg, ON K9A 5T3 - note this is in Nor",dead-or-expired,,"Lakeshore, ON, Canada",,"geocode,oba-kml,tier3-search",3,3,yes,,Lakeshore Minor Basketball Association,https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,yes,,website-flagged-dead-or-expired,2026-07,,youth,
Lay-Up Youth Basketball Camp,Ontario,Toronto,source,Toronto Region,https://www.layup.ca/,basketball@layup.ca,6477259766,,community,,,,,,https://www.facebook.com/LayUpBasketball/,,"Registered Canadian charity (BN 77709 6124 RR0001). Free, cost-free community basketball programs in Toronto's Neighbourhood Improvement Areas for kids 6-14. Contact details confirmed directly by fetc",,,,,"community-sweep,tier3-search",2,2,,,Lay-Up Youth Basketball Camp,https://www.layup.ca/,yes,yes,canadian-tld,2026-07,,youth,
Lead2Greatness,Ontario,,,GTA,,,,NPH Showcase; NPH-SL,,,,,,,IG @lead2greatness,,"Confirmed active Toronto/Vaughan-based club ('proud members of @nxtpro_hoops'), contact via Google Form linked in Instagram bio, no email/phone published. IMPORTANT: lead2greatness.com belongs to a DI",belongs-to-other-org,,,,"census-2026-07,contact-enrichment,ontario-circuit-list,ontario-csv,tier3-search",5,5,,,Lead2Greatness,ontario census + enrichment 2026-07-18,,,website-flagged-belongs-to-other-org,2026-07,,youth,
Legacy Hoops Youth Academy,Ontario,Mississauga,source,,https://jr-nba.webflow.io/programs/legacy-hoops-youth-academy-fall,legacyhoopsacademy@gmail.com,647-381-4000,Jr. NBA Canada; Jr. NBA/Jr. WNBA Canada,,43.618218,-79.670582,,,,,,,,,,,"browser-sweep,jrnba-2019",2,13,,,Legacy Hoops Youth Academy | North Ballers Corp | Ontario Racquet Club,https://jr-nba.webflow.io/programs/legacy-hoops-youth-academy-fall,yes,,unverified-single-source-non-ca,2020,yes,youth,
Legends Elite,Ontario,,,,,,,Phoenix League,,,,,,,,,,,,,,league-harvest,1,1,,,Legends Elite,https://basketball.exposureevents.com/264611/phoenix-basketball-spring-league-2026/teams,,,no-website,2025-26,,youth,no-contact-unverified
LIFT AAU Basketball,Ontario,Toronto,source,Toronto,https://www.letitflybasketball.com/liftaau,,(905) 928-2174,AAU,,,,,,,,,,,,,,"census-2026-07,ontario-csv",2,2,,,LIFT AAU Basketball,ontario census + enrichment 2026-07-18,yes,yes,website-corroborated,2026-07,,youth,
Lincoln Prep,Ontario,Hamilton,source,Hamilton,https://www.lincolnprep.ca/,admin@lincolnprep.ca,905-522-0890,NJC; NPA; NPH-D1; OSBA,,,,,,,,,,,,,,"census-2026-07,ontario-circuit-list,ontario-csv",3,3,,,Lincoln Prep,ontario census + enrichment 2026-07-18,yes,yes,canadian-tld,2026-07,,youth,
Lindsay Wildcats,Ontario,Lindsay,source,Durham-York,https://lindsaywildcats.com/,info@lindsaywildcats.com,,OBL; OBL/OBA (affiliated),house league (grades 3-8) + OBA rep travel teams (ages 9-18),44.3530682,-78.738543,,,,FB @2008; FB @LindsayWildcatsBasketballAssociation; IG @lindsaywildcats,,,,,,,"gap-fill,oba-kml,obl-teams,website-scrape",4,4,yes,yes,Lindsay Wildcats | Lindsay Wildcats Basketball Association,https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,yes,yes,website-from-governing-body,2026-07,,youth,
Little Hoopers (New Tecumseth Jr NBA Basketball Program),Ontario,Alliston,source,,https://www.littlehoopers.ca/,,,,"Jr NBA program, ages 8-13, 3-on-3 league",,,,,,,,,,,,,gap-fill,1,1,,,Little Hoopers (New Tecumseth Jr NBA Basketball Program),https://www.littlehoopers.ca/,,yes,canadian-tld,2026-07,,youth,
Lo-Ellen Park Prep,Ontario,Sudbury,source,,,,705-522-2320,OSBA,,,,,,,,,,,,,,ontario-circuit-list,1,1,,,Lo-Ellen Park Prep,,yes,,no-website,2026-07,,youth,
LOBA,Ontario,,,,,,,Toronto Big League (SR Rep),,,,,,,,,,,,,,browser-sweep,1,1,,,LOBA,https://torontobigleague.ca/standings,,,no-website,2025-26,,youth,looks-like-abbreviation
London 86ers,Ontario,London,inferred-from-name,West Region,https://www.london86ers.com/,,,OBL; OBL/OBA (affiliated),,43.0279031,-81.2592827,,,,,,,,,,,"oba-kml,obl-teams",2,2,yes,yes,London 86ers,https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,,yes,website-from-governing-body,2026-07,,youth,
London Basketball Academy (LBA Prep),Ontario,London,source,London,https://www.londonbasketballacademy.ca/,londonbasketballacademy@gmail.com,519-318-3303,NJC; NSC,,,,,,,IG @lba_prep,Angelo Provenzano (Head Coach); Judy Provenzano (Owner/Director of Operations),"Real Ontario club confirmed (post-secondary-prep program, NJC tournaments) via direct staff-page fetch -- distinct from an unrelated 'London Basketball Association' in London, UK that also surfaces in",,,,Judy Provenzano (Owner/Dir); Angelo Provenzano (HC),"census-2026-07,contact-enrichment,ontario-circuit-list,ontario-csv,tier3-search",5,5,,,LBA (London Basketball Academy) | London Basketball Academy | London Basketball Academy (LBA Prep),ontario census + enrichment 2026-07-18,yes,yes,canadian-tld,2026-07,,youth,
London Basketball Club,Ontario,London,source,West Region,https://www.londonbasketballclub.ca/,,,,community,,,,,,FB @londonbasketballclub; IG @londonthunderbasketball,,"Address: London, ON N6C 1J4. Site explicitly defers to a ""Board of Directors"" page under About for contact, but that page could not be located/fetched (404 on the URLs tried).",,"London, ON N6C 1J4",,,"community-sweep,municipal-directory,tier3-search,website-scrape",4,4,,,London Basketball Club,https://www.londonbasketballclub.ca/,,yes,website-from-governing-body,2026-07,,youth,
London CYO,Ontario,London,source,West Region,https://www.londoncyobasketball.com/,,,OBL; OBL/OBA (affiliated),parish,43.0088951,-81.1807786,,,,FB @londoncyo; IG @londoncyobasketball,,"Address: London, ON N5V 4P7. Same pattern as London Basketball Club - site defers to a Board of Directors page for contact, page not retrievable (404).",,,,,"census-2026-07,community-sweep,oba-kml,obl-teams,ontario-csv,tier3-search,website-scrape",7,8,yes,yes,London CYO | London CYO Basketball | London CYO Basketball Club,https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,,yes,website-from-governing-body,2026-07,,youth,
London Elite,Ontario,London,source,,,,,Phoenix League,,,,,,,,,,,,,,league-harvest,1,1,,,London Elite,https://basketball.exposureevents.com/264611/phoenix-basketball-spring-league-2026/teams,,,no-website,2025-26,,youth,no-contact-unverified
London Ramblers,Ontario,London,source,West Region,https://londonramblers.com/,ramblercoach@gmail.com,519-850-4318,JUEL / JUEL Prep; NJC; OBL; OBL/OBA (affiliated),house-league,43.0474141,-81.2563574,,,,,,,,,,,"community-sweep,league-harvest,oba-kml,obl-teams,ontario-circuit-list",5,5,yes,yes,London Ramblers | London Ramblers Basketball,https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,yes,yes,website-from-governing-body,2026-07,,youth,
London Royals,Ontario,London,source,West Region,https://linktr.ee/londonroyalsbasketball,executive@londonroyals.ca,,OBL/OBA (affiliated),,42.9901054,-81.2696062,,,,,,,,,,,"oba-kml,website-scrape",2,2,yes,,London Royals,https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,yes,yes,website-from-governing-body,2026-07,,youth,
London Wheelchair Basketball Association,Ontario,London,source,,,lwbafcf@gmail.com,,,,,,,,,,,,,,,,211-cioc,1,1,,,London Wheelchair Basketball Association,https://211ontario.ca/service/97167940/london-wheelchair-basketball-association-london-wheelchair-basketball-association/,yes,,no-website,2026-07,,youth,
M & R Basketball,Ontario,Markham ON,source,GTA,www.mandrbasketball.ca,info@mandrbasketball.ca,647-927-7091,CYBL (Canadian Youth Basketball League); NPH Showcase; NPH-SL; NSC; Toronto Big League (JR Rep),,43.8599076,-79.3349945,,ChIJqUwyoO_V1IkRYz2yLIFSPfc,APPROXIMATE,IG @mandrbasketball,,,,,"Markham, ON, Canada",David Reaume/Roy Singh/Tracy Richardson (co-founders),"browser-sweep,census-2026-07,contact-enrichment,geocode,league-harvest,ontario-circuit-list,ontario-csv",7,7,,,M & R Basketball | M&R | M&R Basketball,https://maps.googleapis.com/maps/api/geocode/json,yes,yes,canadian-tld,2026-07,,youth,
Malton Sting Basketball Club,Ontario,Mississauga (Malton),source,Peel-Halton,https://www.maltonsting.com/,maltonsting.bc@gmail.com,,NPH-SL; OBL; OBL/OBA (affiliated),,43.7161148,-79.6445965,,,,FB @2008; IG @maltonsting.bc,,,,,,,"municipal-directory,oba-kml,obl-teams,ontario-circuit-list,website-scrape",5,5,yes,yes,Malton Sting | Malton Sting Basketball | Malton Sting Basketball Club,https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,yes,yes,website-from-governing-body,2026-07,,youth,
Malvern Alliance,Ontario,"Toronto (Malvern, Scarborough)",source,,,,,Toronto Big League (SR Rep),,,,,,,,,,,,,,browser-sweep,1,1,,,Malvern Alliance,https://torontobigleague.ca/standings,,,no-website,2025-26,,youth,
Maple Basketball,Ontario,,,,maplebasketball.ca,,6476770220,CYBL (Canadian Youth Basketball League); OBL,,,,,,,Instagram @maple_basketball_ca,,"Confirmed non-profit REP club based in Maple/Vaughan, ON, member of Canada Basketball and Ontario Basketball Association (OBA). Matches CYBL/OBL leagues in input. No email listed on site.",,,,,"league-harvest,obl-teams,tier3-search,website-scrape",4,4,,yes,Maple Basketball,https://www.maplebasketball.ca/,yes,yes,canadian-tld,2026-07,,youth,
Markham Gators,Ontario,Markham,source,,,,,OBL,,,,,,,,,,,,,,ontario-circuit-list,1,1,,,Markham Gators,,,,no-website,2026-07,,youth,
Markham Unionville Minor Basketball Association (MUMBA),Ontario,Markham,source,Durham-York,https://www.mumbabasketball.ca/,basil@mumbabasketball.ca,(647) 535-6747,NPH-D1; NPH-SL; OBL; OBL/OBA (affiliated); Phoenix League; Toronto Big League (SR Prep),community,43.9072095,-79.2641435,,,,FB @mumbabasketball; IG @mumbabasketball,,,,,,"Michael Sousa (Pres); Samuel Wiseman (GM, MBA Prep); Basil Glezakos (Dir Membership)","browser-sweep,community-sweep,contact-enrichment,gap-fill,league-harvest,oba-kml,obl-teams,ontario-circuit-list,website-scrape",9,10,yes,yes,"MBA | MBA (likely MUMBA, Markham — verify) | MUMBA (Markham Unionville Minor BA) — ""MUMBA Mentality""/MBA prep | MUMBA (Markham Unionville Minor Basketball Association) | MVP Basketball Academy | Markham Unionville Minor Basketball Association (MUMBA)",https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,yes,yes,website-from-governing-body,2026-07,,youth,
Markham-Stouffville Basketball Academy (MSBA STORM),Ontario,Markham/Stouffville,source,,https://www.msbastorm.com/,msbastorm@gmail.com,,,non-profit youth development academy,,,,,,IG @msbastorm,,,,,,,"gap-fill,website-scrape",2,2,,,Markham-Stouffville Basketball Academy (MSBA STORM),https://www.msbastorm.com,yes,yes,website-corroborated,2026-07,,youth,
MBA Basketball,Ontario,,,GTA,https://mumbabasketball.ca/,,647-945-6945,NPH Showcase,,,,,,,FB @mumbabasketball; IG @mumbabasketball,,,,,,,"census-2026-07,ontario-csv,website-scrape",3,3,,,MBA Basketball,ontario census + enrichment 2026-07-18,yes,yes,canadian-tld,2026-07,,youth,
MC Elite Basketball,Ontario,Toronto ON,source,GTA,mcelite.clubcentral.com,mcelitebball@gmail.com,,NPH Showcase; NPH-SL; SR Prep); Toronto Big League (JR Prep,,,,,,,IG @mcelitebball,,,,,,,"browser-sweep,census-2026-07,contact-enrichment,ontario-circuit-list,ontario-csv,website-scrape",6,6,,,MC Elite | MC Elite Basketball,ontario census + enrichment 2026-07-18,yes,yes,website-corroborated,2026-07,,youth,
MCBC . NBA,Ontario,Mississauga,source,,,,,Jr. NBA/Jr. WNBA Canada,,,,,,,,,,,,,,browser-sweep,1,1,,,MCBC . NBA | MCBC Jr. NBA,https://jr-nba.webflow.io/programs/mcbc-jr-nba-fall,,,no-website,2019-20,yes,youth,
Metropolitan Prep Academy,Ontario,Toronto,source,Toronto,metroprep.com,admissions@metroprep.com,416-285-0870,NSC,,,,,,,,,,,,,,"census-2026-07,ontario-csv",2,2,,,Metropolitan Prep Academy,ontario census + enrichment 2026-07-18,yes,yes,website-corroborated,2026-07,,youth,
Midland Waves Basketball Association,Ontario,Midland,source,,https://www.midlandwaves.ca/,,,OBL,"house league + OBA rep teams (U13-U19), serves Penetang-Midland, ages 6-18",,,,,,FB @MidlandWaves; IG @midlandwaves; X @MidlandWaves,,No email/phone/address on homepage; only social links and an internal admin login.,,,,,"gap-fill,obl-teams,tier3-search,website-scrape",4,4,,yes,Midland Waves | Midland Waves Basketball Association,https://www.midlandwaves.ca/,,yes,canadian-tld,2026-07,,youth,
Midnight Basketball (Toronto),Ontario,Toronto,source,Toronto Region,,,,,community,,,,,,,,,,,,,community-sweep,1,1,,,Midnight Basketball (Toronto),https://basketball.on.ca/programs/community/,,,no-website,2026-07,,youth,
Mile of Gold Basketball Club,Ontario,,,North Region,https://www.klswampdonkeys.com/,jodi.ryan@dsb1.ca,,OBL/OBA (affiliated),,48.152102,-80.0315739,,,,IG @phoenix.bulldogs.template,,,,,,,"oba-kml,website-scrape",2,2,yes,,Mile of Gold Basketball Club,https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,yes,yes,website-from-governing-body,2026-07,,youth,
Milton Men's Basketball,Ontario,Milton,source,,http://www.leaguelineup.com/miltonmensbasketball,dstocktonmmbl@gmail.com,416-898-7059,,,,,,,,,"Dave Stockton (President, dstockton14@gmail.com); Jon Nameth (Deputy Commissioner, 905-749-1822)",,,"Milton District High School and Milton Sports Centre (game locations), 396 Williams Ave, Milton, ON, L9T 2G4",,,"211-cioc,municipal-directory",2,2,,,Milton Men's Basketball,https://211ontario.ca/service/97617674/milton-mens-basketball-milton-mens-basketball/,yes,yes,website-from-governing-body,2026-07,,adult,
Milton Stags,Ontario,Milton ON,source,Peel-Halton,https://www.miltonstags.com/,inquiry@stagsbasketball.com,289-429-1114,Jr. NBA Canada; Jr. NBA/Jr. WNBA Canada; OBL; OBL/OBA (affiliated); ORBL (Ontario Regional Basketball League),community,43.4744509,-79.876533,,ChIJ1XEjSqNvK4gRMnRwdYfd9GA,APPROXIMATE,IG @miltonstagsball,"Christine Giroux (Director of Operations, Christine@miltonstags.com)",,,"Mattamy National Cycling Centre, 2015 Panam Blvd, Room 170, Milton, ON, L9E 0K7","Milton, ON, Canada",(volunteer board),"211-cioc,browser-sweep,community-sweep,contact-enrichment,geocode,jrnba-2019,league-harvest,municipal-directory,oba-kml,obl-teams",10,12,yes,yes,MILTON STAGS | Milton Stags | Milton Stags BC | Milton Stags Basketball | Milton Stags Basketball Club (Milton Stags Youth Basketball) | Milton Stags Youth Basketball,https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,yes,yes,website-from-governing-body,2026-07,,youth,
Mississauga Community Services – Huron Park Community Centre (basketball programs),Ontario,Mississauga (Erindale),source,Peel-Halton,,,,,municipal,,,,,,,,,,,,,community-sweep,1,1,,,Mississauga Community Services – Huron Park Community Centre (basketball programs),https://peel.cioc.ca/bresults.asp?SubjID=186,,,no-website,2026-07,,youth,
Mississauga Knights,Ontario,Mississauga,inferred-from-name,Peel-Halton,http://knightsbasketball.ca/,info@knightsbasketball.ca,,OBL/OBA (affiliated),,43.5890452,-79.6441198,,,,,,,,,,,oba-kml,1,1,yes,,Mississauga Knights,https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,yes,yes,website-from-governing-body,2026-07,,youth,
Mississauga Minor Basketball Association,Ontario,Mississauga,source,Peel-Halton,https://monarchsbasketball.ca/,info@monarchsbasketball.ca,(905) 502-0050,AAU; Coalition; NPH-SL; NSC; OBA; OBL; OBL/OBA (affiliated),community,43.6313878,-79.6539032,L4Z 4B6,EkA1NjAwIFJvc2UgQ2hlcnJ5IFBsIGMgM3JkIGZsb29yLCBNaXNzaXNzYXVnYSwgT04gTDRaIDRCNiwgQ2FuYWRhIicaJQoWChQKEglzXXDkUz8riBHpoWSMSqWfIRILYyAzcmQgZmxvb3I,ROOFTOP,,,,,"5600 Rose Cherry Place, Entrance C 3rd Floor, Mississauga, ON L4Z 4B6","5600 Rose Cherry Pl c 3rd floor, Mississauga, ON L4Z 4B6, Canada",,"census-2026-07,community-sweep,geocode,municipal-directory,oba-kml,ontario-circuit-list,ontario-csv",7,10,yes,,Mississauga Minor Basketball (MMBA/Monarchs) | Mississauga Minor Basketball Association | Mississauga Minor Basketball Association (MMBA) | Mississauga Minor Basketball Association (Monarchs Basketball) | Monarchs | Monarchs Basketball | Monarchs Basketball (Rep/AAU),https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,yes,yes,website-from-governing-body,2026-07,,youth,
Mississauga Monarchs - D & Hemeng,Ontario,Mississauga,source,,,,,CYBL (Canadian Youth Basketball League); OBL,,,,,,,,,,,,,,"league-harvest,obl-teams",2,3,,yes,Mississauga Monarchs | Mississauga Monarchs - D & Hemeng,https://www.cybl.ca/ (High School division),,,no-website,2026-07,,youth,
Mississauga Youth Athletics Association,Ontario,Mississauga,inferred-from-name,Peel-Halton,,,,OBL/OBA (affiliated),,43.5966945,-79.6235407,,,,,,,,,,,oba-kml,1,1,yes,,Mississauga Youth Athletics Association,https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,,,no-website,2026-07,,youth,
Momentum Basketball,Ontario,Toronto (Don Mills),source,GTA,https://momentumsportsgroup.ca/,info@momentumsportsgroup.ca,(416) 357-4636,CYBL (Canadian Youth Basketball League); NPH Showcase; NPH-SL,,,,,,,IG @momentumsportsgta,,,,,,,"census-2026-07,league-harvest,ontario-circuit-list,ontario-csv,website-scrape",5,5,,,Momentum | Momentum Basketball | Momentum Basketball (Momentum Sports Group),ontario census + enrichment 2026-07-18,yes,yes,canadian-tld,2026-07,,youth,
Momentum Sports Group,Ontario,,,Toronto Region,https://momentumsportsgroup.ca/,admin@momentumsportsgroup.ca,,OBL/OBA (affiliated),,43.7233471,-79.3799928,,,,IG @momentumsportsgta,,,,,,,"oba-kml,website-scrape",2,2,yes,,Momentum Sports Group,https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,yes,yes,website-from-governing-body,2026-07,,youth,
Monstarz Elite,Ontario,,,,,,,Phoenix League,,,,,,,,,,,,,,league-harvest,1,1,,,Monstarz Elite,https://basketball.exposureevents.com/264611/phoenix-basketball-spring-league-2026/teams,,,no-website,2025-26,,youth,no-contact-unverified
Motion Basketball,Ontario,,,Toronto Region,http://www.motionballsports.ca/,info@motionballsports.ca,4162751713,OBL/OBA (affiliated),,43.7368158,-79.5628573,,,,,,Also has a separate voicemail number 647-874-5215 in addition to the main line.,,,,,"oba-kml,tier3-search",2,2,yes,,Motion Basketball,https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,yes,yes,website-from-governing-body,2026-07,,youth,
MT Elite,Ontario,,,,,,,CYBL (Canadian Youth Basketball League),,,,,,,,,,,,,,league-harvest,1,1,,,MT Elite,https://www.cybl.ca/ (High School division),,,no-website,2025-26,,youth,no-contact-unverified;short-name-single-league-source
Municipality of Powassan,Ontario,Powassan,source,,https://jr-nba.webflow.io/programs/municipality-of-powassan,jeff.buell@blueskynet.ca,705-825-3660,Jr. NBA Canada; Jr. NBA/Jr. WNBA Canada,,46.0815486,-79.36128479999999,P0H 1Z0,ChIJmQlonEmjKU0RDEU5sZ-a2oA,APPROXIMATE,,,,,,"Powassan, ON P0H 1Z0, Canada",,"browser-sweep,geocode,jrnba-2019",3,3,,,Municipality of Powassan,https://maps.googleapis.com/maps/api/geocode/json,yes,,unverified-single-source-non-ca,2026-07,,youth,
Naismith Basketball Association,Ontario,Eastern Ontario (Ottawa area),source,Capital-Kingston,http://www.naismithbasketball.ca/,,,OBL/OBA (affiliated),community,45.14102,-76.1697718,K0A 1A0,ChIJX_fIq48a0kwRj3eQiVPJSKk,APPROXIMATE,FB @NaismithBasketballAssociation; IG @naismithbasketballassociation,,Site runs on the RAMP registration platform with only social links and an admin login; no email/phone published.,,,"Almonte, Mississippi Mills, ON K0A 1A0, Canada",,"community-sweep,geocode,oba-kml,tier3-search,website-scrape",5,5,yes,,Naismith Basketball Association,https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,,yes,website-from-governing-body,2026-07,,youth,
Naismith Basketball Association,Ontario,possibly Almonte/Lanark area,source,,,,,EOBA (Eastern Ontario Basketball Association); EOBA Competitive Season 2025-26,,,,,,,,,,,,,,"browser-sweep,league-harvest",2,2,,,Naismith | Naismith Basketball Association,https://tournaments-api.teamsnap.com/public/events/45924/participants,,,no-website,2025-26,,youth,
NBD G-Elite,Ontario,,,,,,,EOBA Competitive Season 2025-26,,,,,,,,,,,,,,browser-sweep,1,1,,,NBD G-Elite,https://tournaments-api.teamsnap.com/public/events/45924/participants,,,no-website,2025-26,,youth,
NDL,Ontario,,,,,,,NPH-D1,,,,,,,,,,,,,,ontario-circuit-list,1,1,,,NDL,,,,no-website,2026-07,,youth,looks-like-abbreviation
NDL Basketball,Ontario,,,GTA,,,,NPH Showcase,,,,,,,,,,,,,,"census-2026-07,ontario-csv",2,2,,,NDL Basketball,ontario census + enrichment 2026-07-18,,,no-website,2026-07,,youth,
